t,x_m,v_mps,a_mps2,throttle,brake,power_W,F_drive_N,F_rr_N
0.0,0.0,0.0,0.0,0.0,0.0,,,
0.01,0.0014851638692138134,0.14851638692138133,14.851638692138133,1.0,0.0,1200.0,2040.0,18.691974000000002
0.02,0.00445549160764144,0.29703277384276267,14.851638692138133,1.0,0.0,1200.0,2040.0,18.691974000000002
0.03,0.008910983215282879,0.44554916076414397,14.851638692138133,1.0,0.0,1200.0,2040.0,18.691974000000002
0.04,0.014851638692138132,0.5940655476855253,14.851638692138133,1.0,0.0,1200.0,2040.0,18.691974000000002
0.05,0.022040119499486047,0.7188480807347913,12.4782533049266,1.0,0.0,1200.0,1716.9822488005102,18.691974000000002
0.060000000000000005,0.030257435598861335,0.8217316099375286,10.288352920273722,1.0,0.0,1200.0,1418.9368064492535,18.691974000000002
0.07,0.03937305384914468,0.9115618250283346,8.983021509080597,1.0,0.0,1200.0,1241.2812013858693,18.691974000000002
0.08,0.04929709729261672,0.9924043443472037,8.084251931886914,1.0,0.0,1200.0,1118.958661929809,18.691974000000002
0.09,0.059962591796367676,1.0665494503750959,7.414510602789218,1.0,0.0,1200.0,1027.8068670396124,18.691974000000002
0.09999999999999999,0.07131703789462467,1.1354446098256992,6.889515945060328,1.0,0.0,1200.0,956.3550941227105,18.691974000000002
0.10999999999999999,0.08331779886547436,1.2000760970849689,6.463148725926963,1.0,0.0,1200.0,898.3265155986596,18.691974000000002
0.11999999999999998,0.09592932701289722,1.2611528147422864,6.107671765731749,1.0,0.0,1200.0,849.946101316091,18.691974000000002
0.12999999999999998,0.10912137819709326,1.3192051184196043,5.805230367731803,1.0,0.0,1200.0,808.7838270482983,18.691974000000002
0.13999999999999999,0.1228678018297427,1.3746423632649443,5.543724484533988,1.0,0.0,1200.0,773.1928763450757,18.691974000000002
0.15,0.13714568703808128,1.4277885208338579,5.314615756891368,1.0,0.0,1200.0,742.0111785129151,18.691974000000002
0.16,0.15193474016548641,1.4789053127405145,5.111679190665668,1.0,0.0,1200.0,714.3915118495974,18.691974000000002
0.17,0.16721681853444037,1.5282078368953966,4.930252415488222,1.0,0.0,1200.0,689.6993277479469,18.691974000000002
0.18000000000000002,0.18297557324975758,1.5758754715317218,4.766763463632515,1.0,0.0,1200.0,667.4484814003852,18.691974000000002
0.19000000000000003,0.19919617020707217,1.62205969573146,4.618422419973808,1.0,0.0,1200.0,647.2592653584353,18.691974000000002
0.20000000000000004,0.2158650685238616,1.6668898316789422,4.483013594748227,1.0,0.0,1200.0,628.8301242452337,18.691974000000002
0.21000000000000005,0.23296984199919513,1.7104773475333535,4.3587515854411265,1.0,0.0,1200.0,611.9180647785372,18.691974000000002
0.22000000000000006,0.2504990333949196,1.7529191395724455,4.244179203909205,1.0,0.0,1200.0,596.3247636520427,18.691974000000002
0.23000000000000007,0.26844203414828555,1.7943000753365985,4.13809357641531,1.0,0.0,1200.0,581.8865097501235,18.691974000000002
0.24000000000000007,0.2867889840667522,1.8346949918466624,4.039491651006397,1.0,0.0,1200.0,568.4667877019706,18.691974000000002
0.25000000000000006,0.3055306869206154,1.874170285386321,3.9475293539658565,1.0,0.0,1200.0,555.950719074753,18.691974000000002
0.26000000000000006,0.32465853882696893,1.9127851906353512,3.861490524903043,1.0,0.0,1200.0,544.2408344393041,18.691974000000002
0.2700000000000001,0.3441644670308279,1.9505928203858989,3.7807629750547664,1.0,0.0,1200.0,533.2538149049536,18.691974000000002
0.2800000000000001,0.36404087721598977,1.9876410185161861,3.7048198130287293,1.0,0.0,1200.0,522.9179505532101,18.691974000000002
0.2900000000000001,0.3842806078730735,2.023973065708375,3.633204719218893,1.0,0.0,1200.0,513.1711362856913,18.691974000000002
0.3000000000000001,0.4048768905518957,2.059628267882219,3.5655202173843916,1.0,0.0,1200.0,503.9592755860157,18.691974000000002
0.3100000000000001,0.42582331505544496,2.0946424503549297,3.5014182472710766,1.0,0.0,1200.0,495.2349974535935,18.691974000000002
0.3200000000000001,0.44711379881124114,2.12904837557962,3.440592522469003,1.0,0.0,1200.0,486.9566163080313,18.691974000000002
0.3300000000000001,0.46874255979571733,2.1628760984476183,3.3827722867998427,1.0,0.0,1200.0,479.0872822334586,18.691974000000002
0.34000000000000014,0.49070409249780944,2.19615327020921,3.3277171761591697,1.0,0.0,1200.0,471.594281675263,18.691974000000002
0.35000000000000014,0.5129931464960474,2.228905399823794,3.2752129614584353,1.0,0.0,1200.0,464.4484580544931,18.691974000000002
0.36000000000000015,0.5356047072942162,2.2611560798168777,3.2250679993083344,1.0,0.0,1200.0,457.6237287058643,18.691974000000002
0.37000000000000016,0.558533979117917,2.292927182370085,3.177110255320728,1.0,0.0,1200.0,451.09667974915106,18.691974000000002
0.38000000000000017,0.5817763694210029,2.324239030308584,3.131184793849923,1.0,0.0,1200.0,444.8462244429745,18.691974000000002
0.3900000000000002,0.6053274748890988,2.3551105468095948,3.0871516501010827,1.0,0.0,1200.0,438.85331357875737,18.691974000000002
0.4000000000000002,0.6291830687589508,2.3855593869852063,3.0448840175611505,1.0,0.0,1200.0,433.1006887900726,18.691974000000002
0.4100000000000002,0.6533390892984955,2.415602053954473,3.004266696926696,1.0,0.0,1200.0,427.5726714517233,18.691974000000002
0.4200000000000002,0.6777916293143444,2.4452540015848916,2.965194763041858,1.0,0.0,1200.0,422.2549812499969,18.691974000000002
0.4300000000000002,0.7025369265716436,2.474529725729915,2.9275724145023436,1.0,0.0,1200.0,417.13457961376895,18.691974000000002
